A5,hh_altersmok2,smoking,hh_turnover
0,,,.60000002
0,,,.60000002
1,,,0
1,10,0,0
1,10,0,0
1,12,0,0
1,32,0,0
1,0,0,0
1,,,0
1,0,0,.60000002
1,0,0,.60000002
3,,,0
3,10,0,0
3,12,0,0
3,20,12,0
3,,,0
3,,,0
3,,,.60000002
3,,,.60000002
7,0,0,0
7,,,.60000002
7,,,.60000002
5,,,0
5,,,.60000002
5,,,.60000002
0,,,0
0,0,0,0
0,0,0,0
1,,,0
1,0,0,0
1,0,0,0
1,0,0,0
3,,,0
3,,,0
3,,,0
3,0,0,0
0,,,0
0,0,3,0
0,0,3,0
1,,,0
1,3,0,0
1,3,0,0
3,,,0
3,,,0
3,,,0
3,3,0,0
0,,,0
0,0,1,0
1,,,0
1,,,0
1,,,0
1,1,0,0
0,,,0
0,0,10,0
0,0,0,0
1,,,0
1,10,0,0
1,0,0,0
3,,,0
3,,,0
3,0,0,0
3,,,0
3,,,0
3,,,0
0,,,0
0,2,0,0
0,15,15,0
0,0,0,.16666667
0,0,0,0
1,12,0,0
1,,,.2857143
1,,,0
1,0,2,0
1,15,15,0
1,0,0,.16666667
1,0,0,0
0,12,0,0
0,7,0,.2857143
0,20,0,0
3,,,0
3,2,0,0
3,30,0,0
3,0,0,.16666667
3,0,0,0
3,12,0,0
3,,,.2857143
3,20,0,0
3,,,0
3,2,0,0
3,30,0,0
3,,,.16666667
3,,,0
3,,,.2857143
3,,,0
5,,,0
5,,,0
5,,,0
5,0,0,.16666667
5,,,0
5,0,12,0
5,0,7,.2857143
5,0,20,0
7,2,0,0
8,30,0,0
7,0,0,.16666667
7,0,0,0
7,12,0,0
7,7,0,.2857143
7,,,0
5,,,.16666667
5,,,0
5,12,0,0
5,7,0,.2857143
5,20,0,0
0,,,0
0,,,0
0,,,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,,,0
1,0,0,0
1,0,0,0
1,,,0
0,13,2,0
0,10,0,0
0,19,0,0
0,0,3,.33333334
0,20,2,0
0,0,0,.66666669
0,,,0
1,9,6,0
1,0,10,0
1,11,8,0
1,3,0,.33333334
1,,,.66666669
3,,,0
3,8,7,0
3,,,0
3,8,11,0
3,,,.33333334
3,2,20,0
3,,,.66666669
0,,,0
0,0,2,0
0,0,1,0
1,,,0
1,,,0
1,2,0,0
1,2,0,0
1,1,0,0
3,,,0
3,,,0
3,1,0,0
0,,,0
0,,,0
0,6,6,0
0,6,6,0
0,0,8,0
0,0,6,0
0,0,3,0
0,0,1,.33333334
0,0,1,.33333334
0,0,0,.33333334
1,,,0
1,12,0,0
1,8,0,0
1,6,0,0
1,3,0,0
1,1,0,.33333334
1,1,0,.33333334
1,0,0,.33333334
3,,,0
3,,,0
3,8,0,0
3,6,0,0
3,3,0,0
3,,,.33333334
3,,,.33333334
3,,,.33333334
0,,,0
0,,,0
0,0,20,0
0,0,15,0
