A5,hh_altersmok,smoking,log_inc,class,gender,A12,han
0,-4.7683716e-07,20,10.730498,13,1,5,1
1,20,0,11.507661,7,2,3,1
3,20,0,10.80517,4,1,5,1
0,5,10,11.519769,7,1,5,0
1,15,0,11.936143,4,2,6,1
3,,,10.833418,,1,1,0
1,0,0,11.055205,13,2,4,1
0,0,0,11.055205,13,1,5,1
0,0,14,11.399989,8,1,5,1
1,14,0,11.190123,13,2,2,1
0,0,0,11.427367,13,1,5,1
1,0,0,11.331404,13,2,4,1
0,.5,1,11.285021,8,1,5,1
1,1.5,0,11.190238,7,2,5,1
3,,,10.322856,,1,1,1
0,0,0,2.7080503,1,2,5,1
1,0,0,2.7080503,8,1,5,1
3,,,2.7080503,,1,,1
3,,,2.7080503,,2,,1
1,10,20,12.040923,7,1,5,1
0,30,0,11.494287,4,2,5,1
3,,,10.888433,,2,0,1
0,0,0,11.220789,8,1,5,1
1,0,0,11.272975,8,2,5,1
3,,,10.330932,,1,,1
0,0,0,11.953757,8,1,5,1
1,0,0,11.316911,13,2,2,1
0,20,0,11.060369,13,2,4,1
1,0,20,11.09741,13,1,3,1
0,0,0,12.149608,7,1,5,1
1,0,0,11.95774,7,2,5,1
3,,,11.142152,,2,0,1
0,0,0,9.2704945,1,1,5,1
1,0,0,10.655375,,2,5,1
3,,,9.2704945,,2,,1
1,0,1,11.055205,13,1,3,1
0,1,0,11.055205,13,2,3,1
0,0,0,11.350995,13,1,5,1
1,0,0,11.365005,13,2,5,1
0,0,0,11.571383,8,1,5,1
1,0,0,11.066951,8,2,5,1
3,,,10.434704,,2,0,1
0,15,0,11.512925,8,2,5,1
1,5,10,11.512925,4,1,5,1
3,,,10.596635,,2,1,1
0,15,30,11.119665,4,1,2,1
1,45,0,9.8774176,1,2,3,1
5,,,9.8774176,,2,,1
0,7.5,15,11.289782,4,1,3,1
1,22.5,0,9.9034872,1,2,5,1
3,,,9.9034872,,2,,1
0,0,20,11.206931,13,1,4,1
1,20,0,11.223095,13,2,4,1
0,0,0,11.19416,13,1,5,1
1,0,0,11.10803,13,2,3,1
0,3,1,12.034691,8,1,5,1
1,1,3,11.434964,13,2,3,1
0,0,0,12.138864,4,1,5,1
1,0,0,12.001506,4,2,5,1
3,,,11.170435,,1,,1
0,5,10,11.385092,4,1,3,1
1,15,0,12.05525,4,2,5,1
3,,,10.858999,,2,,1
0,5,10,11.493063,4,1,5,1
1,15,0,11.863817,4,2,5,1
3,,,10.779651,,2,,1
0,0,0,11.117411,4,1,5,1
1,0,0,10.579827,4,2,5,1
3,,,9.9680262,,2,,1
0,0,0,11.700879,4,1,5,1
1,0,0,11.700879,4,2,5,1
3,,,10.792978,,1,,1
0,0,0,10.6664,13,1,2,1
1,0,0,9.5860796,1,2,0,1
0,0,0,10.965625,13,2,0,1
0,0,20,10.778956,13,1,2,1
1,20,0,10.778956,13,2,2,1
0,0,0,11.546144,4,1,5,1
1,0,0,11.366484,4,2,5,1
3,,,10.555228,,1,,1
0,0,0,11.220789,4,1,5,1
1,0,0,9.8344946,1,2,5,1
3,,,9.8344946,,1,,1
0,0,0,11.069758,13,1,2,1
1,0,0,10.885566,13,2,2,1
1,15,0,10.667404,13,2,2,1
0,5,10,10.924739,13,1,4,1
5,,,9.879878,,1,,1
0,0,0,10.442681,13,1,5,1
1,0,0,10.866518,13,2,2,1
5,,,9.8412123,,1,,1
0,0,0,12.040608,7,1,5,1
1,0,0,12.034691,7,2,5,1
0,0,0,10.634743,13,1,4,1
1,0,0,11.024411,13,2,2,1
0,0,0,11.375765,13,1,5,1
1,0,0,11.12007,13,2,4,1
0,0,0,11.060369,4,1,4,1
1,0,0,10.837618,8,2,1,1
3,0,0,10.038892,,1,1,1
