class1991,class2000,class2011,male1,smoking2000,smoking2011,drink2000,drink2011,prest00,prest91,prest11
student,owner,labor,1.12,0,0,0,0,75,49,60
,owner,labor,1,0,0,0,0,75,,60
,owner,labor,1.12,9,7.3333335,2.5555556,1.2222222,75,,60
unemp,owner,self emp,1,0,0,0,0,75,25,55
labor,owner,self emp,1,,0,0,0,75,60,55
labor,owner,self emp,1.12,20,17,2,4,75,60,55
self emp,owner,self emp,1,0,0,0,0,75,55,55
self emp,owner,self emp,1.12,6.6666665,7,1,3.3333333,75,55,55
owner,owner,self emp,1.12,20,20,5,5,75,75,55
farmer,owner,self emp,1,0,0,0,0,75,32,55
farmer,owner,self emp,1.12,0,0,1,0,75,32,55
student,owner,self emp,1.12,,0,1,0,75,49,55
,owner,self emp,1,0,0,0,0,75,,55
,owner,self emp,1.12,6.5714288,2.8571429,1.8571428,1.4285715,75,,55
labor,owner,owner,1.12,.33333334,10.25,2,3.5,75,60,75
owner,owner,owner,1.12,12.5,16,2,2.4000001,75,75,75
student,owner,owner,1.12,10,40,3,3,75,49,75
,owner,owner,1,0,0,5,0,75,,75
,owner,owner,1.12,7,8.6000004,2.3,1.6,75,,75
owner,owner,farmer,1.12,5,3,2.5,2,75,75,32
farmer,owner,farmer,1,0,0,1,1.25,75,32,32
farmer,owner,farmer,1.12,2.8,5,2,2.5,75,32,32
,owner,farmer,1,0,0,0,0,75,,32
,owner,farmer,1.12,11.5,14,1.2,3,75,,32
labor,owner,retired,1,0,0,0,0,75,60,49
labor,owner,retired,1.12,10,5,0,.5,75,60,49
self emp,owner,retired,1,0,0,.5,0,75,55,49
self emp,owner,retired,1.12,0,1,0,0,75,55,49
owner,owner,retired,1,0,0,0,0,75,75,49
owner,owner,retired,1.12,9.6000004,9.8000002,3,2.5999999,75,75,49
farmer,owner,retired,1.12,0,0,0,0,75,32,49
,owner,retired,1,0,0,0,.33333334,75,,49
,owner,retired,1.12,7.25,4.6153846,2.7692308,2.6153846,75,,49
unemp,owner,,1,0,,0,,75,25,
labor,owner,,1,0,,0,,75,60,
labor,owner,,1.12,9.75,,2.6956522,,75,60,
self emp,owner,,1,0,,1,,75,55,
self emp,owner,,1.12,12.6,,2.5999999,,75,55,
owner,owner,,1,0,,0,,75,75,
owner,owner,,1.12,15.05,,3.0434783,,75,75,
soldier,owner,,1.12,20,,4,,75,62,
farmer,owner,,1.12,12.6,,2,,75,32,
student,owner,,1,0,,0,,75,49,
student,owner,,1.12,0,,1,,75,49,
,owner,,1,0,,.2631579,,75,,
,owner,,1.12,6.7317071,0,2.2444444,5,75,,
unemp,soldier,unemp,1,0,0,0,0,62,25,25
labor,soldier,unemp,1,0,0,0,0,62,60,25
farmer,soldier,unemp,1,0,0,0,0,62,32,25
student,soldier,unemp,1.12,10,20,0,5,62,49,25
,soldier,unemp,1.12,0,0,0,5,62,,25
self emp,soldier,labor,1,0,0,0,0,62,55,60
farmer,soldier,labor,1.12,,0,1,4,62,32,60
student,soldier,labor,1.12,,1,1,1,62,49,60
,soldier,labor,1.12,6,2,2.5,1,62,,60
labor,soldier,self emp,1.12,20,20,1,0,62,60,55
student,soldier,self emp,1,,0,0,0,62,49,55
student,soldier,self emp,1.12,,20,0,2,62,49,55
,soldier,self emp,1.12,,40,1,5,62,,55
owner,soldier,owner,1.12,20,20,2,3,62,75,75
student,soldier,owner,1.12,,5,0,0,62,49,75
farmer,soldier,soldier,1.12,5,0,3,3,62,32,62
,soldier,soldier,1,,0,1,0,62,,62
,soldier,soldier,1.12,5,0,3,3,62,,62
student,soldier,farmer,1,,0,0,0,62,49,32
student,soldier,farmer,1.12,,8.333333,.66666669,1.6666666,62,49,32
,soldier,retired,1,0,0,0,0,62,,49
,soldier,retired,1.12,6.5,10.5,3,4,62,,49
unemp,soldier,,1,0,,0,,62,25,
labor,soldier,,1,,,,,62,60,
labor,soldier,,1.12,6.8000002,,.5,,62,60,
self emp,soldier,,1.12,,,,,62,55,
owner,soldier,,1.12,20,,1,,62,75,
soldier,soldier,,1.12,,,1,,62,62,
farmer,soldier,,1,,,,,62,32,
farmer,soldier,,1.12,,,0,,62,32,
student,soldier,,1,,,,,62,49,
student,soldier,,1.12,9,,.75,,62,49,
retired,soldier,,1.12,0,,0,,62,49,
,soldier,,1,0,,0,,62,,
,soldier,,1.12,21.375,,2.4545455,,62,,
unemp,farmer,unemp,1,1.8333334,2.8421052,.15789473,.2631579,32,25,25
unemp,farmer,unemp,1.12,7,10,0,0,32,25,25
labor,farmer,unemp,1,0,0,0,.14285715,32,60,25
labor,farmer,unemp,1.12,8.666667,4.5,2.875,3,32,60,25
self emp,farmer,unemp,1,6.6666665,0,1,.33333334,32,55,25
self emp,farmer,unemp,1.12,.5,3.3333333,3.3333333,1.6666666,32,55,25
owner,farmer,unemp,1,0,0,0,0,32,75,25
owner,farmer,unemp,1.12,10,0,3,1.6666666,32,75,25
farmer,farmer,unemp,1,.48816568,.43442622,.30874318,.21038251,32,32,25
farmer,farmer,unemp,1.12,11.870503,8.2699385,2.2085888,1.7116565,32,32,25
student,farmer,unemp,1,,0,0,0,32,49,25
student,farmer,unemp,1.12,7.5,9.166667,.83333331,.83333331,32,49,25
retired,farmer,unemp,1.12,0,15,3,2,32,49,25
,farmer,unemp,1,1.725,1.5112782,.26865673,.33834586,32,,25
,farmer,unemp,1.12,10.815789,10.534883,2.2093024,1.3488373,32,,25
unemp,farmer,labor,1,0,0,0,0,32,25,60
unemp,farmer,labor,1.12,,0,1,1,32,25,60
labor,farmer,labor,1,0,0,0,0,32,60,60
labor,farmer,labor,1.12,18,16.200001,3.3,2.8,32,60,60
self emp,farmer,labor,1.12,20,30,5,0,32,55,60
owner,farmer,labor,1.12,0,10,3,4,32,75,60
farmer,farmer,labor,1,0,.02,.18000001,.36000001,32,32,60
farmer,farmer,labor,1.12,11.808219,13.444445,2.1888888,2.5999999,32,32,60
student,farmer,labor,1.12,7.9333334,10.130435,.95652175,1.9130435,32,49,60
,farmer,labor,1,.64285713,.71428573,.10204082,.48979592,32,,60
,farmer,labor,1.12,10.911765,9.7777777,2.2444444,3.0222223,32,,60
unemp,farmer,self emp,1,0,0,.5,1.5,32,25,55
unemp,farmer,self emp,1.12,20,20,4,3,32,25,55
labor,farmer,self emp,1,0,0,0,0,32,60,55
labor,farmer,self emp,1.12,13.2,14.4,1.8,2,32,60,55
self emp,farmer,self emp,1,,0,0,0,32,55,55
self emp,farmer,self emp,1.12,16.428572,4.125,2.25,4,32,55,55
farmer,farmer,self emp,1,0,.27777779,.25,.27777779,32,32,55
farmer,farmer,self emp,1.12,12,14.416667,1.75,2.4722223,32,32,55
student,farmer,self emp,1,0,0,0,0,32,49,55
student,farmer,self emp,1.12,5,6.25,1.0625,1.375,32,49,55
,farmer,self emp,1,0,1.0526316,0,.15789473,32,,55
,farmer,self emp,1.12,13.12,11.033334,1.8333334,1.8666667,32,,55
labor,farmer,owner,1.12,15,11.666667,1.3333334,0,32,60,75
self emp,farmer,owner,1,,0,0,0,32,55,75
farmer,farmer,owner,1,0,0,0,0,32,32,75
farmer,farmer,owner,1.12,13.25,20,2.4000001,3.8,32,32,75
student,farmer,owner,1.12,10,20,0,4,32,49,75
,farmer,owner,1,0,0,1.5,2,32,,75
,farmer,owner,1.12,11.666667,11.666667,0,.83333331,32,,75
,farmer,soldier,1.12,10,10,0,2,32,,62
unemp,farmer,farmer,1,1.3333334,.88235295,.17647059,0,32,25,32
unemp,farmer,farmer,1.12,1.5,2.5,4,4,32,25,32
labor,farmer,farmer,1,0,0,.45454547,.72727275,32,60,32
labor,farmer,farmer,1.12,14.1,11.833333,1.5,1.6666666,32,60,32
self emp,farmer,farmer,1,3.3333333,2.3333333,1.3333334,1.6666666,32,55,32
self emp,farmer,farmer,1.12,8.818182,14.666667,2.8333333,2.5,32,55,32
owner,farmer,farmer,1,0,0,0,.5,32,75,32
owner,farmer,farmer,1.12,6.75,7.9000001,2,1.7,32,75,32
soldier,farmer,farmer,1.12,,6,1,5,32,62,32
farmer,farmer,farmer,1,.17748918,.22535211,.27967808,.23541248,32,32,32
farmer,farmer,farmer,1.12,11.553073,11.295612,1.9491917,2.3418014,32,32,32
