province,aids_incidence,aids_mort,aid_morb,aid_mortrate,hiv_incidence,hiv_mort,hiv_morb,hiv_mortrate,year,morb_ipolate,report,report_ipolate,org,sjw,news
sc,99,33,.1209,.0403,2144,19,2.6184,.0232,2005,2.6184,38,38,5,190,433
sc,134,53,.1632,.0645,2367,28,2.8824,.0341,2006,2.8824,39,39,5,195,559
sc,411,211,.5031,.2583,3512,188,4.2992,.2301,2007,4.2992,25,25,5,125,418
sc,543,319,.6681,.3925,6846,366,8.4238,.4504,2008,8.4238,32,32,5,160,255
sc,867,430,1.0596,.5255,6658,712,8.136799999999999,.8701,2009,8.136799999999999,50,50,5,250,243
sc,1586,796,1.9377,.9725,7401,1187,9.042199999999999,1.4502,2010,9.042199999999999,59,59,5,295,240
sc,1586,796,1.9377,.9725,7401,1187,9.042199999999999,1.4502,2011,9.042199999999999,,68,5,340,169.67999
sc,4902,1231,6.0894,1.5292,8566,2021,10.641,2.5106,2012,10.641,,77,5,385,145.03999
sc,5972,1321,7.3946,1.6357,10436,2442,12.9219,3.0237,2013,12.9219,,86,5,430,120.96
sd,31,14,.0338,.0153,27,,.0294,,2004,.0294,11,11,6,66,541
sd,59,23,.0642,.025,271,9,.2947,.0098,2005,.2947,38,38,6,228,433
sd,41,25,.0443,.027,262,8,.2833,.0087,2006,.2833,39,39,6,234,559
sd,40,23,.043,.0247,252,28,.2707,.0301,2007,.2707,25,25,6,150,418
sd,41,28,.0438,.0299,292,38,.3117,.0406,2008,.3117,32,32,6,192,255
sd,102,44,.1083,.0467,301,47,.3196,.0499,2009,.3196,50,50,6,300,243
sd,107,53,.113,.056,468,45,.4942,.0475,2010,.4942,59,59,6,354,240
sd,107,53,.113,.056,468,45,.4942,.0475,2011,.4942,,68,6,408,169.67999
sd,289,54,.2999,.056,793,60,.8228,.0623,2012,.8228,,77,6,462,145.03999
sd,350,64,.3614,.0661,941,50,.9716,.0516,2013,.9716,,86,6,516,120.96
sh,25,4,.1868,.0299,217,1,1.6218,.0075,2004,1.6218,11,11,5,55,541
sh,29,6,.1633,.0338,404,7,2.2744,.0394,2005,2.2744,38,38,5,190,433
sh,51,9,.2868,.0506,693,8,3.8976,.045,2006,3.8976,39,39,5,195,559
sh,82,12,.4518,.0661,674,13,3.7135,.0716,2007,3.7135,25,25,5,125,418
sh,132,24,.7104,.1292,803,14,4.3219,.0753,2008,4.3219,32,32,5,160,255
sh,156,21,.8261,.1112,736,15,3.8974,.0794,2009,3.8974,50,50,5,250,243
sh,275,26,1.4315,.1353,827,21,4.305,.1093,2010,4.305,59,59,5,295,240
sh,275,26,1.4315,.1353,827,21,4.305,.1093,2011,4.305,,68,5,340,169.67999
sh,652,37,2.7775,.1576,1106,49,4.7115,.2087,2012,4.7115,,77,5,385,145.03999
sh,549,39,2.3063,.1638,1165,70,4.8941,.2941,2013,4.8941,,86,5,430,120.96
sx,37,2,.1116,.006,39,,.1177,,2004,.1177,11,11,.2,2.2,541
sx,116,38,.3478,.1139,235,11,.7047,.033,2005,.7047,38,38,.2,7.5999999,433
sx,103,32,.307,.0954,208,7,.62,.0209,2006,.62,39,39,.2,7.8000002,559
sx,120,62,.3556,.1837,253,14,.7496,.0415,2007,.7496,25,25,.2,5,418
sx,99,59,.2918,.1739,230,31,.6779,.0914,2008,.6779,32,32,.2,6.4000001,255
sx,102,64,.2991,.1876,242,37,.7096,.1085,2009,.7096,50,50,.2,10,243
sx,162,69,.4727,.2013,302,51,.8811,.1488,2010,.8811,59,59,.2,11.8,240
sx,162,69,.4727,.2013,302,51,.8811,.1488,2011,.8811,,68,.2,13.6,169.67999
